Rows,brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
1,mahindra,thar,manual,4,diesel,2184,11003,1,1231000,,,,,
2,hyundai,verna,manual,6,petrol,1591,66936,1,786000,,,,,
3,tata,harrier,manual,2,diesel,1956,27990,1,1489000,,,,,
4,honda,city,automatic,1,petrol,1498,5061,1,1227000,,,,,
5,ford,ecosport,manual,3,diesel,1498,23480,1,887000,,,,,
6,honda,wr-v,manual,3,petrol,1199,44787,1,796000,,,,,
7,tata,punch,manual,2,petrol,1199,450,1,813000,,,,,
8,tata,nexon,automatic,4,diesel,,59866,1,728000,,,,,
9,mahindra,xuv700,automatic,2,diesel,2184,62567,1,2322000,,,,,
10,ford,ecosport,automatic,5,petrol,1497,58503,1,766000,,,,,
11,maruti,dzire,manual,6,petrol,1197,58159,1,471000,,,,,
12,hyundai,grand,manual,1,petrol,1197,15568,1,689000,,,,,
13,tata,tiago,manual,1,petrol,1199,6676,1,536000,,,,,
14,hyundai,creta,manual,6,petrol,,59085,1,823000,,,,,
15,maruti,alto,manual,6,petrol,998,52966,1,310000,,,,,
16,hyundai,verna,manual,4,diesel,1582,60592,1,993000,,,,,
17,maruti,alto,automatic,10,petrol,998,71297,1,265000,,,,,
18,honda,amaze,manual,2,petrol,1199,15935,1,699000,,,,,
19,kia,seltos,manual,3,diesel,1493,71040,1,980000,,,,,
20,hyundai,grand,manual,1,petrol,1197,2850,1,710000,,,,,
21,mg,hector,automatic,2,petrol,1451,26999,1,1652000,,,,,
22,tata,tigor,manual,1,petrol,1199,12096,1,590000,,,,,
23,honda,city,automatic,7,petrol,1497,65434,2,787000,,,,,
24,hyundai,verna,manual,4,diesel,1493,48995,1,1060000,,,,,
25,ford,freestyle,manual,6,petrol,1194,66584,1,495000,,,,,
26,maruti,ciaz,manual,4,petrol,1462,24961,1,878000,,,,,
27,maruti,dzire,manual,5,petrol,1197,33972,1,514000,,,,,
28,tata,tiago,manual,2,cng,1199,22874,1,684000,,,,,
29,maruti,dzire,manual,5,petrol,1197,109938,1,584000,,,,,
30,maruti,alto,manual,5,petrol,796,60452,1,316000,,,,,
31,maruti,celerio,automatic,8,petrol,998,32747,1,394000,,,,,
32,kia,carens,automatic,2,diesel,1493,34694,1,1654000,,,,,
33,maruti,ignis,manual,5,petrol,1197,51244,1,472000,,,,,
34,renault,triber,manual,1,petrol,999,6843,1,636000,,,,,
35,ford,ecosport,automatic,5,petrol,1496,20751,1,806000,,,,,
36,tata,punch,automatic,1,petrol,1199,16393,1,668000,,,,,
37,honda,city,automatic,7,petrol,1497,74671,1,832000,,,,,
38,hyundai,verna,manual,7,petrol,1591,94020,1,819000,,,,,
39,mahindra,xuv500,automatic,3,diesel,2179,25366,1,1400000,,,,,
40,maruti,s,manual,4,cng,998,75502,1,432000,,,,,
41,tata,nexon,manual,2,petrol,1199,22894,1,941000,,,,,
42,tata,tiago,manual,4,petrol,1199,42313,2,456000,,,,,
43,tata,altroz,manual,4,petrol,1199,58047,1,590000,,,,,
44,maruti,ciaz,manual,6,petrol,1462,76120,1,721000,,,,,
45,hyundai,xcent,manual,7,petrol,1197,60964,1,449000,,,,,
46,tata,tiago,manual,1,petrol,1199,17297,1,574000,,,,,
47,renault,triber,manual,4,petrol,999,34646,1,594000,,,,,
48,maruti,ciaz,automatic,6,petrol,1462,45254,2,687000,,,,,
49,maruti,ciaz,automatic,2,petrol,1462,24062,1,1041000,,,,,
50,hyundai,grand,manual,8,petrol,1197,28221,1,456000,,,,,
51,maruti,xl6,manual,2,petrol,1462,43830,1,1196000,,,,,
52,maruti,wagon,automatic,8,petrol,998,21218,1,375000,,,,,
53,hyundai,new,manual,4,cng,1086,62996,1,504000,,,,,
54,maruti,xl6,automatic,2,petrol,1462,40395,2,1152000,,,,,
55,maruti,baleno,automatic,7,petrol,1197,42752,1,567000,,,,,
56,maruti,ciaz,manual,5,petrol,1462,59733,1,751000,,,,,
57,maruti,ciaz,manual,7,petrol,1373,92389,1,607000,,,,,
58,hyundai,venue,manual,4,petrol,998,36125,1,864000,,,,,
59,maruti,ciaz,manual,4,petrol,1462,26202,1,825000,,,,,
60,volkswagen,virtus,manual,2,petrol,999,27653,1,918000,,,,,
61,honda,city,automatic,8,petrol,1497,61033,2,572000,,,,,
62,kia,sonet,manual,1,petrol,1197,7907,1,898000,,,,,
63,mg,hector,manual,4,petrol,1451,26793,1,1135000,,,,,
64,volkswagen,virtus,automatic,1,petrol,999,9083,1,1383000,,,,,
65,tata,tiago,manual,6,petrol,1199,50015,2,371000,,,,,
66,nissan,magnite,manual,2,petrol,999,22517,1,562000,,,,,
67,skoda,rapid,automatic,7,petrol,1598,100001,2,546000,,,,,
68,maruti,swift,manual,1,petrol,1197,14887,1,638000,,,,,
69,honda,amaze,manual,4,petrol,1199,48004,2,493000,,,,,
70,maruti,ertiga,manual,12,petrol,1373,52706,2,330000,,,,,
71,toyota,yaris,manual,4,petrol,1496,37628,1,803000,,,,,
72,datsun,go,manual,6,cng,1198,23055,2,331000,,,,,
73,maruti,alto,manual,1,petrol,998,14943,1,445000,,,,,
74,nissan,magnite,manual,2,petrol,999,20338,1,548000,,,,,
75,hyundai,new,automatic,0,petrol,,3295,1,974000,,,,,
76,mahindra,kuv,manual,4,petrol,1198,19376,1,474000,,,,,
77,nissan,magnite,manual,2,petrol,999,31760,1,556000,,,,,
78,mahindra,xuv700,manual,3,petrol,1997,37303,1,1473000,,,,,
79,maruti,baleno,manual,2,petrol,1197,25782,1,657000,,,,,
80,hyundai,venue,manual,2,petrol,1197,25523,1,909000,,,,,
81,hyundai,creta,manual,2,petrol,1497,19352,1,1103000,,,,,
82,honda,city,manual,3,petrol,1498,28398,1,1078000,,,,,
83,maruti,dzire,manual,7,petrol,1197,22148,1,467000,,,,,
84,hyundai,verna,manual,11,petrol,1591,75331,1,378000,,,,,
85,honda,amaze,manual,4,petrol,1199,52036,1,573000,,,,,
86,maruti,swift,manual,2,petrol,1197,24626,1,757000,,,,,
87,maruti,vitara,automatic,5,diesel,1248,86677,1,632000,,,,,
88,nissan,magnite,manual,2,petrol,999,18222,1,614000,,,,,
89,honda,city,manual,3,petrol,1498,5404,1,1251000,,,,,
90,maruti,baleno,manual,4,petrol,1197,72471,2,572000,,,,,
91,renault,kwid,automatic,7,petrol,999,47819,2,292000,,,,,
92,volkswagen,ameo,manual,6,petrol,999,40904,1,471000,,,,,
93,maruti,celerio,manual,2,petrol,998,12708,1,494000,,,,,
94,nissan,magnite,manual,2,petrol,999,36341,1,551000,,,,,
95,maruti,ignis,manual,2,petrol,1197,17745,1,525000,,,,,
96,nissan,magnite,manual,3,petrol,999,30455,1,522000,,,,,
97,hyundai,grand,manual,6,petrol,1197,40398,1,396000,,,,,
98,maruti,wagon,manual,7,petrol,998,60446,1,350000,,,,,
99,renault,kwid,manual,8,petrol,999,20709,1,262000,,,,,
100,honda,city,manual,7,petrol,1497,78608,1,578000,,,,,
101,datsun,redi,manual,6,petrol,799,84695,1,207000,,,,,
102,maruti,wagon,manual,6,cng,998,56257,1,367000,,,,,
103,maruti,swift,manual,6,petrol,1197,27356,2,569000,,,,,
104,maruti,ciaz,manual,5,diesel,1498,61329,1,702000,,,,,
105,hyundai,venue,manual,4,diesel,1396,46446,1,734000,,,,,
106,renault,kwid,automatic,7,petrol,999,41308,3,285000,,,,,
107,tata,tiago,manual,6,petrol,1199,94259,1,384000,,,,,
108,honda,jazz,manual,8,petrol,1199,79166,1,382000,,,,,
109,hyundai,new,manual,5,petrol,1086,61839,2,397000,,,,,
110,maruti,baleno,manual,4,petrol,1197,46628,1,522000,,,,,
111,maruti,wagon,manual,6,cng,998,87192,1,374000,,,,,
112,tata,nexon,manual,2,diesel,1497,45834,1,804000,,,,,
113,maruti,ignis,manual,2,petrol,1197,18015,1,528000,,,,,
114,tata,nexon,manual,4,diesel,1497,52276,1,718000,,,,,
115,ford,freestyle,manual,6,petrol,1194,87411,2,442000,,,,,
116,maruti,ignis,manual,5,petrol,1197,47484,1,431000,,,,,
117,hyundai,venue,manual,3,petrol,1197,19866,1,765000,,,,,
118,maruti,alto,manual,1,petrol,998,21607,1,467000,,,,,
119,hyundai,grand,manual,9,petrol,1197,62536,1,311000,,,,,
120,mg,hector,manual,5,diesel,1956,33306,1,1286000,,,,,
121,hyundai,creta,automatic,5,diesel,1582,67168,1,1037000,,,,,
122,ford,ecosport,manual,5,diesel,1498,27603,3,670000,,,,,
123,maruti,baleno,manual,4,petrol,1197,36323,2,652000,,,,,
